"","Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","date","numeric_date"
"19"," 795                             "," Newest news and videos for Black community! Stay together, like to join!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 51                           "," 1                           "," 35.00 RUB                 "," 01/14/16 06:34:10 AM PST ",2016-01-14,16814
"20"," 797                             "," Community about black social and racial issues! Like to subscribe!                 "," https://www.facebook.comNVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 41                           "," 0                           "," None                 "," 01/14/16 06:31:14 AM PST ",2016-01-14,16814
"21"," 806                             "," Newest news and videos for Black community! Stay together, like to join!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 98                           "," 2                           "," 54.60 RUB                 "," 01/14/16 06:34:13 AM PST ",2016-01-14,16814
"22"," 808                             "," Your voice counts! Here you can find news and videos about black                                          community!                 "," https://www.facebook.comnVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 52                           "," 1                           "," None                 "," 01/14/16 06:38:43 AM PST ",2016-01-14,16814
"23"," 812                            "," Community about black social and racial issues! Like to subcribe!               "," https://www.facebook.com/WilliamsandKalvin/                     ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK) or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Multicultural Affinity: Hispanic (US - All), Hispanic (US - Spanish                                          dominant), Hispanic (US - English dominant), Hispanic (US - Bilingual) or                                          Asian American (US)                                          People Who Match: Interests: Black Tea Patriots, Black Knowledge,                                          BlackNews.com, Black (Color) or HuffPost Black Voices                                          And Must Also Match: Multicultural Affinity: African American (US)                  "," 91                          "," 1                         "," 30.42 RUB               "," 01/14/16 06:27:17 AM PST ",2016-01-14,16814
"24"," 814                             "," Community about black social and racial issues! Like to subcribe!                 "," https://www.facebook.comNVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 31                           "," 0                           "," None                 "," 01/14/16 06:27:20 AM PST ",2016-01-14,16814
"25"," 817                             "," Newest news and videos for Black community! Stay together, like to join!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Multicultural Affinity: Hispanic(US - All), Hispanic(US - Spanish                                          dominant), Hispanic(US - English dominant), Hispanic(US - Bilingual) or                                          Asian American (US)                                          People Who Match: Interests: Black Tea Patriots, Black Knowledge,                                          BlackNews.com, Black (Color) or HuffPost Black Voices                                          And Must Also Match: Multicultural Affinity: African American(US)                   "," 88                           "," 1                           "," 35.00 RUB                 "," 01/14/16 06:34:14 AM PST ",2016-01-14,16814
"26"," 820                             "," Newest news and videos for Black community! Stay together, like to join!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 63                           "," 1                           "," 38.60 RUB                 "," 01/14/16 06:34:13 AM PST ",2016-01-14,16814
"27"," 825                             "," We're black and We're proud of it! Join to understand how beautiful we are!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 138                           "," 4                           "," 68.81 RUB                 "," 01/14/16 06:32:24 AM PST ",2016-01-14,16814
"28"," 827                             "," It's time for changes in Black Community! Stay together brother let us be                                          together here!                 "," https://www.facebook.comnVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 27                           "," 0                           "," None                 "," 01/14/16 06:33:15 AM PST ",2016-01-14,16814
"29"," 829                             "," Community about black social and racial issues! Like to subscribe!                 "," https://www.facebook.comNVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 78                           "," 2                           "," 35.00 RUB                 "," 01/14/16 06:31:12 AM PST ",2016-01-14,16814
"30"," 831                             "," It's time for changes in Black Community! Stay together brother let us be                                          together here!                 "," https://www.facebook.comnVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Multicultural Affinity: Hispanic(US -All), Hispanic(US - Spanish                                          dominant), Hispanic(US - English dominant), Hispanic(US - Bilingual) or                                          Asian American (US)                                          People Who Match: Interests: Black Tea Patriots, Black Knowledge,                                          BlackNews.com, Black (Color) or HuffPost Black Voices                                          And Must Also Match: Multicultural Affinity: African American(US)                   "," 47                           "," 0                           "," 0.00                 "," 01/14/16 06:33:15 AM PST ",2016-01-14,16814
"31"," 836                             "," We're black and We're proud of it! Join to understand how beautiful we are!                 "," https://www.facebook.com/William sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 37                           "," 0                           "," None                 "," 01/14/16 06:32:30 AM PST ",2016-01-14,16814
"32"," 840                             "," Community about black social and racial issues! Like to subscribe!                 "," https://www.facebook.comNVilliam sandKaIvin/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),                                           Hispanic(US - English dominant), Hispanic(US - Bilingual: English and                                          Spanish) or Asian American (US)                                          People Who Match: Interests: BlackNews.com, Black (Color) or HuffPost                                           Black Voices                                          And Must Also Match: Behaviors: African American (US)                   "," 30                           "," 0                           "," None                 "," 01/14/16 06:31:05 AM PST ",2016-01-14,16814
"33"," 847                             "," Why don't american cops realize that being black is not a crime? African                                          american kids are being shot only for playing with toy guns... How is it                                           possible? Where is the justice? Our Government is blind, they simply don't                                          want to pay attention to this legalized homicide of own people... This is crazy!                                          We must speak about it!                 "," https://www.facebook.comNViIliamsKalvin-788980617892144/                      ",": United States                                          Interests: BlackNews.com, HuffPost Politics or HuffPost Black Voices                                          Age: 18 - 54                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 0                           "," 0                           "," None                 "," 01/05/16 02:03:13 AM PST                      Ad End Date 01/08/16 02:03:12 AM PST ",2016-01-05,16805
